#Frame      Mode1    Mode2    Mode3
     738   -3.036    0.612   -2.466
     739   -3.422   -0.012   -0.971
     740   -2.363   -0.009   -1.688
     741   -1.429   -0.406   -1.793
     742   -1.353   -0.878   -1.224
     743   -2.614   -0.713   -0.400
     744   -2.210    1.040   -0.612
     745    0.015   -0.507   -0.771
     746   -1.895   -1.369    0.720
     747   -1.204   -0.398   -0.950
     748   -1.895   -0.320   -0.127
     749   -3.797   -0.713   -0.229
     750   -2.775   -2.712   -0.410
     751   -2.615   -0.341   -1.706
     752   -2.860   -0.702   -1.271
     753   -1.855   -0.717   -1.333
     754   -2.082    0.217   -1.919
     755   -3.724    1.256    0.013
     756   -3.260   -2.269   -1.562
     757   -2.714    0.480   -1.084
     758   -2.502    0.322   -1.809
     759   -1.144   -0.571   -0.990
     760   -2.744    0.375    0.232
     761    0.359    0.052   -1.557
     762    0.813   -1.165   -2.158
     763    0.148   -0.841   -0.630
     764   -0.604   -0.934    0.046
     765   -1.252   -1.206   -0.798
     766   -1.338   -0.293   -0.261
     767   -2.265   -0.985    0.363
     768   -2.463   -0.753   -0.584
     769   -1.244    0.914   -3.092
     770   -2.191   -1.125   -1.396
     771   -3.419    0.056    0.028
     772   -0.890    0.490   -0.910
     773   -0.524    0.084    0.506
     774   -1.358    0.533   -0.143
     775   -1.493   -0.651   -1.816
     776   -1.662   -0.489   -0.194
     777   -0.411    0.250   -1.136
     778   -1.240   -0.405    0.313
     779   -1.565    0.580    0.596
     780   -1.896   -0.887   -1.120
     781   -1.924   -0.963   -0.547
     782   -1.958    0.222   -0.890
     783   -2.450    0.937   -0.650
     784   -1.784    1.712   -1.982
     785   -2.770    0.463   -0.021
     786    1.053    2.039   -1.839
     787   -1.676    0.262   -1.441
     788   -0.642   -0.505   -1.847
     789   -1.353   -1.772   -0.427
     790   -2.265   -3.010   -1.089
     791   -1.191   -3.496   -1.112
     792   -1.273   -3.178   -1.192
     793    0.155   -2.979   -2.218
     794   -0.985   -2.953   -0.264
     795   -1.976   -0.968   -2.954
     796   -2.797   -2.739   -2.797
     797    1.624   -2.819   -3.056
     798    0.902   -1.529   -2.123
     799   -0.740   -2.048   -0.388
     800    3.280   -2.787   -0.333
     801    0.110   -1.614   -0.703
     802    2.243   -0.485   -0.092
     803    1.482   -1.797   -2.056
     804   -0.414   -0.338    1.051
     805   -0.905    0.833    0.363
     806   -1.155    1.600    1.409
     807   -1.107   -0.083   -1.284
     808   -2.225    1.992    1.304
     809   -1.318    0.664   -0.196
     810    0.711   -2.220   -2.366
     811   -0.554   -1.914   -0.253
